question_id,category,question,golden_answer,source_document,chunk_id,similarity_score,confidence_score,keywords_used,coverage_status,reason_if_missing,missing_topic,possible_document_required
39,Eligibility,What is the eligibility criteria for Bachelor of Physiotherapy (BPT)?,"Eligibility for Bachelor of Physiotherapy (BPT): 10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST). Duration: 4 Years + 6-month internship, Seats: 120, Annual Fee: Rs. 75,200, Admission Process: Merit Based.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'bachelor', 'physiotherapy', 'bpt']",Covered,,,
40,Eligibility,What is the eligibility for Bachelor of Medical Laboratory Technology (BMLT)?,"Eligibility for B.Sc. in Medical Laboratory Technology (B.Sc. MLT): 10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST). Duration: 3 Years + 6-month internship, Seats: 120, Annual Fee: Rs. 75,200, Admission Process: Merit Based.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'bachelor', 'medical', 'laboratory', 'technology', 'bmlt']",Covered,,,
41,Eligibility,What is the eligibility for B.HMCT (Hotel Management & Catering Technology)?,"Eligibility for Bachelor of Hotel Management & Catering Technology (AICTE Approved): Intermediate (10+2), From any stream with minimum aggregate marks 40%. Duration: 4 Years, Seats: 90, Annual Fee: Rs. 56,000, Admission Process: Merit based.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'b.hmct', 'hotel', 'management', 'catering', 'technology']",Covered,,,
42,Eligibility,What is the eligibility criteria for B.Ed?,"Eligibility for B.Ed.: Graduation in any Stream. Duration: 2 Years, Seats: 100 + EWS, Annual Fee: Rs. 56,250, Admission Process: UP Joint Entrance Examination.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'b.ed']",Covered,,,
43,Eligibility,What is the eligibility criteria for M.Ed?,"Eligibility for M.Ed.: B.Ed./B.EL.Ed./B.A.-B.Ed./B.Sc.-B.Ed. or equivalent / D.El.Ed with graduation. Minimum 50% or equivalent grade. Duration: 2 Years, Seats: 50+ EWS, Annual Fee: Rs. 17,000, Admission Process: Through Screening Test conducted by department.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'm.ed']",Covered,,,
44,Eligibility,What is the eligibility criteria for M.Tech programs at UIET?,"Eligibility for M.Tech. in Computer Science and Engineering (AICTE Approved): B.Tech./B.E. in CSE/CS/IT/CS & Tech/MCA (with BCA/BSc in Phy, Maths/Statistics/Info Tech/Information Science) or MSc in Computer Sc./IT/Statistics with BSc in Phy, Maths/Statistics/CS/IT/Info Sc.. Duration: 2 Years, Seats: 30 + EWS, Annual Fee: Rs. 70,200, Admission Process: Through CSJMU Admission Portal for Direct Admissions based on Merit.",course_eligibility.json,chunk_1,0.94,0.97,"['eligibility', 'criteria', 'm.tech', 'programs']",Covered,,,
45,Eligibility,Is GATE score mandatory for M.Tech admissions?,"M.Tech. in Electronics and Communication Engineering (AICTE Approved) is a programme offered by CSJMU. The duration of the course is 2 Years. It has 30 + EWS seats available. The eligibility criteria is B.Tech./B.E. in Electronics Engg, E&C Engg, E&E Engg, E&I Engg, E&Telecom Engg / M.Sc. in Electronics or Physics (specialization in Electronics). GATE/NET qualified students shall be preferred.. The annual fee is Rs. 70,200. The admission process ...",course_eligibility.json,chunk_12,0.81,0.83,"['gate', 'score', 'mandatory', 'm.tech', 'admissions']",Covered,,,
46,Departments,What engineering departments are available in UIET Kanpur?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['engineering', 'departments', 'available']",Covered,,,
47,Departments,Tell me about the Department of Computer Science & Engineering at UIET.,"Department of Computer Science & Engineering (CSE) was established in 1996. Established in 1996 with the inception of the Institute, the department has evolved into a dynamic center for teaching, research, and innovation, significantly expanding its infrastructure, laboratory facilities, and academic offerings in line with emerging technological trends. The key highlights of the department are Not Available. The department specializes in Not Avai...",departments_of_uiet.json,chunk_0,0.95,0.95,"['department', 'computer', 'science', 'engineering']",Covered,,,
48,Departments,Tell me about the Department of Information Technology at UIET.,"ABOUT University Institute of Engineering and Technology (UIET) :- The School of Engineering and Technology (UIET) at Chhatrapati Shahu Ji Maharaj University, Kanpur, is dedicated to providing quality  technical education and fostering innovation, research, and professional excellence. The school offers undergraduate and postgraduate programs in various engineering and technology disciplines, designed to equip students with strong theoretical kno...",about_csjm.txt,chunk_3,0.77,0.8,"['department', 'technology']",Covered,,,
49,Departments,What programs are offered by the Department of Electronics & Communication Engineering?,"Department of Computer Science & Engineering (CSE) was established in 1996. Established in 1996 with the inception of the Institute, the department has evolved into a dynamic center for teaching, research, and innovation, significantly expanding its infrastructure, laboratory facilities, and academic offerings in line with emerging technological trends. The key highlights of the department are Not Available. The department specializes in Not Avai...",departments_of_uiet.json,chunk_1,0.77,0.8,"['programs', 'offered', 'department', 'electronics', 'communication', 'engineering']",Covered,,,
50,Departments,What facilities are available in the Department of Chemical Engineering?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['facilities', 'available', 'department', 'chemical', 'engineering']",Covered,,,
51,Departments,What programs are offered by the Department of Mechanical Engineering?,"Department of Mechanical Engineering was established in None. Established with an aim to educate and train graduates to contribute to manufacturing and allied sectors, preparing them to take products from beginning to finish while designing for aesthetics, functionality, and durability. The key highlights of the department are Not Available. The department specializes in Not Available. The department has the following laboratories: Not Available....",departments_of_uiet.json,chunk_4,0.81,0.83,"['programs', 'offered', 'department', 'mechanical', 'engineering']",Covered,,,
52,Departments,What labs exist in the Department of Material Science & Metallurgical Engineering?,"UIET Department Syllabus & Lab info: 1) Syllabus of CSE (Computer Science and Engineering) :-
First semester subjects of CSE :- Mathematics-I, Physics-I, Engineering Drawing, Programming in C & Unix, Communicative English, Universal Human Values-I (SIP)
Second semester subjects of CSE :- Mathematics-II, Physics-II, Chemistry-I, Basic Electrical & Electronics Engg., Workshop Concepts
T...",syllabus_and_lab_of_uiet.txt,chunk_1,0.85,0.88,"['labs', 'exist', 'department', 'material', 'science', 'metallurgical', 'engineering']",Covered,,,
53,Departments,What schools exist under CSJMU?,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.77,0.8,"['schools', 'exist']",Covered,,,
54,Departments,Tell me about the School of Basic Sciences at CSJMU.,"ABOUT CHHATRAPATI SHAHU JI MAHARAJ UNIVERSITY (CSJMU) :- Chhatrapati Shahu Ji Maharaj (CSJM) University, situated in Kanpur, Uttar Pradesh, shines as a symbol of excellence in the higher education landscape of India. Accredited with the highest NAAC grade of A++, it is recognized as one of the most esteemed and rapidly advancing state universities in the country. Recently designated as a Tier-I University/Institution by the University Grants Comm...",about_csjm.txt,chunk_0,0.95,0.95,"['school', 'basic', 'sciences']",Covered,,,
55,Departments,Tell me about the School of Life Sciences & Biotechnology.,"Dr. Alok Pandey is the Admission Coordinator for the B.Sc.(H) Biotechnology / M.Sc. Biotechnology programme at School of Life Sciences & Biotechnology, CSJM University. His Contact is : 8052232974.",admission_coordinators.json,chunk_16,0.95,0.95,"['school', 'life', 'sciences', 'biotechnology']",Covered,,,
56,Departments,Tell me about the School of Health Sciences.,"Dr. Anshu Singh is the Admission Coordinator for the Master of Arts In Public Health programme at School of Arts, Humanities & Social Sciences, CSJM University. His Contact is : 9891445385.",admission_coordinators.json,chunk_81,0.95,0.95,"['school', 'health', 'sciences']",Covered,,,
57,Departments,Tell me about the School of Pharmaceutical Sciences.,"Dr. Prakash Chandra Gupta is the Admission Coordinator for the M. Pharm Pharmacognosy programme at School of Pharmaceutical Sciences, CSJM University. His Contact is : 7897419191.",admission_coordinators.json,chunk_40,0.95,0.95,"['school', 'pharmaceutical', 'sciences']",Covered,,,
58,Departments,Tell me about the School of Legal Studies.,"Ms. Smriti Roy / Ms. Kaushiki Trivedi is the Admission Coordinator for the LL.B. (H) programme at School of Legal Studies, CSJM University. His Contact is : 8600890129 / 9026233032.",admission_coordinators.json,chunk_48,0.95,0.95,"['school', 'legal', 'studies']",Covered,,,
59,Departments,Tell me about the School of Business Management.,"Dr. Prashant Trivedi is the Admission Coordinator for the MBA programme at School of Business Management, CSJM University. His Contact is : 9936164861.",admission_coordinators.json,chunk_86,0.95,0.95,"['school', 'business', 'management']",Covered,,,
60,Departments,Tell me about the School of Hospitality & Tourism Management.,"Master of Hotel Management and Catering Technology is a programme offered by CSJMU. The duration of the course is 2 Years. It has 20 seats available. The eligibility criteria is Bachelor Degree in HMCT/Hospitality/Hotel Administrator/Hotel Management/Culinary Art/Hospitality Management/Culinary Science from a recognized university/Institute. The annual fee is Rs. 50,000. The admission process is Merit based.",course_eligibility.json,chunk_79,0.77,0.8,"['school', 'hospitality', 'tourism', 'management']",Covered,,,
61,Departments,Tell me about the School of Teacher Education.,Uttarakhand Board of School Education is one of the approved boards accepted by CSJMU. Its address is Dehradun.,approved_boards.json,chunk_43,0.83,0.85,"['school', 'teacher', 'education']",Covered,,,
62,Departments,Tell me about the School of Languages.,Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['school', 'languages']",Missing,No document in the knowledge base addresses this specific question regarding Departments.,Departments Information,csjmu_departments_handbook.pdf
63,Departments,"Tell me about the School of Arts, Humanities & Social Sciences.",Information is not available in the current CSJMU/UIET knowledge base documents.,N/A,N/A,0.15,0.1,"['school', 'arts', 'humanities', 'social', 'sciences']",Missing,No document in the knowledge base addresses this specific question regarding Departments.,Departments Information,csjmu_departments_handbook.pdf
64,Departments,Tell me about the School of Creative & Performing Arts.,"Bachelor of Performing Arts (Tabla) is a programme offered by CSJMU. The duration of the course is 3 Years. It has 10 seats available. The eligibility criteria is 10+2 from any Recognized Board. The annual fee is Rs. 16,200. The admission process is Merit Based.",course_eligibility.json,chunk_87,0.77,0.8,"['school', 'creative', 'performing', 'arts']",Covered,,,
65,Departments,Tell me about the School of Advanced Agriculture Sciences & Technology.,"Dr. Rohit and Dr. Ankit Singh Bhadauria is the Admission Coordinator for the B.Sc. (Hons.) Agriculture programme at School of Advanced Agriculture Sciences & Technology, CSJM University. His Contact is : 9125965352.",admission_coordinators.json,chunk_94,0.95,0.95,"['school', 'advanced', 'agriculture', 'sciences', 'technology']",Covered,,,
66,Faculty,Who is the Director of UIET Kanpur?,"The Director of UIET Kanpur is Dr. Alok Kumar. Contact Email: director.uiet@csjmu.ac.in, Mobile: 7007713064.",uiet_designation.json,chunk_1,0.96,0.98,['director'],Covered,,,
67,Faculty,Who is the Head of Department (HOD) of CSE at UIET?,The HOD of Computer Science & Engineering at UIET is Dr. Sandesh Gupta.,uiet_teachers.json,chunk_hod,0.95,0.98,"['head', 'department', 'hod', 'cse']",Covered,,,
